timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729024237967,734,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,734,0,0
1729024238706,229,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0ee04eb28cf897466ab00a2cc8c&fields=status,DE:api_contentList,DE:api_contentListWithIDs",229,0,0
1729024238936,1068,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1068,0,0
1729024240005,226,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0ef06d32a6bc9b856b5fbd20c12&fields=status,DE:api_contentList,DE:api_contentListWithIDs",226,0,0
1729024240232,784,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,784,0,0
1729024241019,512,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0f006d32e701a53ca91c1d260eb&fields=status,DE:api_contentList,DE:api_contentListWithIDs",512,0,187
1729024241531,822,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,822,0,0
1729024242354,1509,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0f206d33bb04353a39041d1cb94&fields=status,DE:api_contentList,DE:api_contentListWithIDs",1509,0,0
1729024243864,1149,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1149,0,0
1729024245014,256,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0f41d56eee88f89f792d7d8424e&fields=status,DE:api_contentList,DE:api_contentListWithIDs",256,0,0
1729024245270,1054,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1054,0,0
1729024246326,339,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0f61d56f8c8ee4e043b054fa693&fields=status,DE:api_contentList,DE:api_contentListWithIDs",339,0,0
1729024246667,1082,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1082,0,0
1729024247750,469,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0f706d35f28c8640253f9ec5729&fields=status,DE:api_contentList,DE:api_contentListWithIDs",469,0,0
1729024248259,903,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,903,0,0
1729024249163,250,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0f906d367223e1af8d24865a5de&fields=status,DE:api_contentList,DE:api_contentListWithIDs",250,0,0
